,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,(CIW),(CPA),(CIA),(PIA),(CIX),(ICV),(WIP),(W),SiO2/Al2O3,K2O/Al2O3,Al2O3/TiO2
SiO2,1.00,-0.96,-0.82,-0.42,-0.72,-0.65,-0.68,0.65,-0.90,-0.51,-0.73,0.59,0.58,0.56,0.53,0.52,-0.48,-0.98,0.66,0.93,0.45,0.62
TiO2,-0.96,1.00,0.88,0.30,0.62,0.68,0.49,-0.53,0.95,0.45,0.61,-0.58,-0.57,-0.54,-0.49,-0.48,0.39,0.94,-0.47,-0.95,-0.56,-0.60
Al2O3,-0.82,0.88,1.00,0.27,0.56,0.43,0.20,-0.56,0.90,0.50,0.65,-0.27,-0.26,-0.20,-0.14,-0.12,-0.06,0.80,-0.18,-0.95,-0.60,-0.16
Fe2O3,-0.42,0.30,0.27,1.00,0.90,0.09,0.47,-0.69,0.08,0.61,0.38,0.30,0.30,0.28,0.27,0.26,0.10,0.28,-0.62,-0.32,0.24,-0.15
FeO,-0.72,0.62,0.56,0.90,1.00,0.32,0.63,-0.72,0.42,0.63,0.59,0.02,0.03,0.04,0.05,0.05,0.22,0.60,-0.70,-0.65,-0.07,-0.31
MnO,-0.65,0.68,0.43,0.09,0.32,1.00,0.42,0.02,0.59,0.05,0.24,-0.63,-0.62,-0.59,-0.55,-0.53,0.68,0.61,-0.51,-0.61,-0.51,-0.73
MgO,-0.68,0.49,0.20,0.47,0.63,0.42,1.00,-0.53,0.39,0.28,0.67,-0.50,-0.51,-0.52,-0.53,-0.54,0.73,0.68,-0.95,-0.44,-0.06,-0.62
CaO,0.65,-0.53,-0.56,-0.69,-0.72,0.02,-0.53,1.00,-0.48,-0.79,-0.75,0.02,0.03,0.05,0.06,0.08,-0.02,-0.62,0.51,0.56,-0.14,0.12
Na2O,-0.90,0.95,0.90,0.08,0.42,0.59,0.39,-0.48,1.00,0.33,0.65,-0.66,-0.65,-0.61,-0.55,-0.54,0.29,0.93,-0.33,-0.93,-0.66,-0.47
K2O,-0.51,0.45,0.50,0.61,0.63,0.05,0.28,-0.79,0.33,1.00,0.37,0.16,0.16,0.12,0.07,0.07,-0.11,0.44,-0.25,-0.50,0.38,-0.09
P2O5,-0.73,0.61,0.65,0.38,0.59,0.24,0.67,-0.75,0.65,0.37,1.00,-0.30,-0.30,-0.26,-0.23,-0.22,0.16,0.77,-0.60,-0.71,-0.38,-0.12
(CIW),0.59,-0.58,-0.27,0.30,0.02,-0.63,-0.50,0.02,-0.66,0.16,-0.30,1.00,1.00,0.99,0.97,0.97,-0.77,-0.67,0.42,0.42,0.48,0.77
(CPA),0.58,-0.57,-0.26,0.30,0.03,-0.62,-0.51,0.03,-0.65,0.16,-0.30,1.00,1.00,0.99,0.97,0.97,-0.77,-0.67,0.43,0.41,0.47,0.78
(CIA),0.56,-0.54,-0.20,0.28,0.04,-0.59,-0.52,0.05,-0.61,0.12,-0.26,0.99,0.99,1.00,0.99,0.99,-0.79,-0.64,0.44,0.37,0.37,0.80
(PIA),0.53,-0.49,-0.14,0.27,0.05,-0.55,-0.53,0.06,-0.55,0.07,-0.23,0.97,0.97,0.99,1.00,1.00,-0.81,-0.61,0.45,0.31,0.26,0.81
(CIX),0.52,-0.48,-0.12,0.26,0.05,-0.53,-0.54,0.08,-0.54,0.07,-0.22,0.97,0.97,0.99,1.00,1.00,-0.81,-0.60,0.46,0.29,0.23,0.81
(ICV),-0.48,0.39,-0.06,0.10,0.22,0.68,0.73,-0.02,0.29,-0.11,0.16,-0.77,-0.77,-0.79,-0.81,-0.81,1.00,0.48,-0.75,-0.19,-0.12,-0.93
(WIP),-0.98,0.94,0.80,0.28,0.60,0.61,0.68,-0.62,0.93,0.44,0.77,-0.67,-0.67,-0.64,-0.61,-0.60,0.48,1.00,-0.62,-0.91,-0.49,-0.60
(W),0.66,-0.47,-0.18,-0.62,-0.70,-0.51,-0.95,0.51,-0.33,-0.25,-0.60,0.42,0.43,0.44,0.45,0.46,-0.75,-0.62,1.00,0.41,0.05,0.64
SiO2/Al2O3,0.93,-0.95,-0.95,-0.32,-0.65,-0.61,-0.44,0.56,-0.93,-0.50,-0.71,0.42,0.41,0.37,0.31,0.29,-0.19,-0.91,0.41,1.00,0.59,0.37
K2O/Al2O3,0.45,-0.56,-0.60,0.24,-0.07,-0.51,-0.06,-0.14,-0.66,0.38,-0.38,0.48,0.47,0.37,0.26,0.23,-0.12,-0.49,0.05,0.59,1.00,0.17
Al2O3/TiO2,0.62,-0.60,-0.16,-0.15,-0.31,-0.73,-0.62,0.12,-0.47,-0.09,-0.12,0.77,0.78,0.80,0.81,0.81,-0.93,-0.60,0.64,0.37,0.17,1.00
