sample,type,SiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,TiO2,P2O5
UCC,UCC,65.89,15.17,4.49,0.07,2.2,4.19,3.89,3.39,0.5,0.2
PAAS,shale_composite,62.8,18.9,7.2,0.11,2.2,1.3,1.2,3.7,1,0.16
NASC,shale_composite,64.8,16.9,5.7,0.06,2.9,3.4,1,3.8,0.78,0.13
granite,igneous_composite,71.3,14.32,2.85,0.05,0.71,1.84,3.68,4.07,0.31,0.12
granodiorite,igneous_composite,66.37,15.9,3.94,0.08,1.66,3.42,3.51,2.91,0.53,0.15
basalt,igneous_composite,49.2,15.74,10.92,0.2,6.73,9.47,2.91,1.1,1.84,0.35
kaolinite,clay_composite,44.5,38.6,0.4,0.0013,0.1,0.1,0.1,0.1,0.3,0.1
smectite,clay_composite,56.5,17.2,2.8,0.0487,3.6,1.9,0.9,0.7,0.2,0
GS1,Siliciclastic_Rocks,69.09,5.72,1.92,0.04,0.78,8.95,0.23,1.63,0.44,0.01
GS2,Siliciclastic_Rocks,70.62,12.29,4.83,0.02,0.54,0.91,0.27,2.07,0.49,0.02
GS3,Siliciclastic_Rocks,88.68,3.36,1.28,0,0.05,0.1,0.05,1.35,0.06,0.01
GS4,Siliciclastic_Rocks,87.17,3.94,2.96,0.01,0.08,0.22,0.05,1.33,0.08,0.03
GS5,Siliciclastic_Rocks,70.39,14.11,1.72,0.01,0.77,0.8,0.38,2.3,0.53,0.01
GS6,Siliciclastic_Rocks,59.76,14.86,9.86,0.02,1.14,0.42,0.31,2.38,0.64,0.05
GS7,Siliciclastic_Rocks,47.11,13.5,23.34,0.03,0.58,0.38,0.21,1.65,0.66,0.14
GS8,Siliciclastic_Rocks,46.22,12.04,20.54,0.04,1.79,0.74,0.68,1.41,0.55,0.24
GS9,Siliciclastic_Rocks,30.55,14.85,32.9,0,0.29,0.5,0,0.79,0.7,0.72
GS10,Siliciclastic_Rocks,77.15,7.74,5.39,0.06,0.31,0.36,0.61,2.6,0.95,0.04
GS11,Siliciclastic_Rocks,51.81,27.64,1.63,0,0.62,0.59,0,1.27,1.29,0.04
GS12,Siliciclastic_Rocks,40.89,20.83,17.04,0,0.47,2.48,0,1.03,0.95,0.33
GS13,Siliciclastic_Rocks,56.77,22.79,1.67,0.01,1.23,0.79,0.01,0.94,1.24,0.02
GS14,Siliciclastic_Rocks,51.97,20.41,1.79,0.01,1.47,5.44,0,0.77,1.08,0.02
GS15,Siliciclastic_Rocks,52.38,27.87,1.54,0,0.67,0.63,0,1.29,1.3,0.05
GS16,Siliciclastic_Rocks,56.85,18.05,1.85,0.01,1.29,4.44,0.05,1.19,0.98,0.02
GS17,Siliciclastic_Rocks,41.94,12.54,1,0.01,1.47,18.47,0.04,1.09,0.62,0.02
GS18,Siliciclastic_Rocks,76.94,11.14,1.47,0.01,0.44,0.41,0.72,2.9,0.4,0.01
GS19,Siliciclastic_Rocks,53.48,27.14,1.61,0,0.54,0.57,0.01,1.38,1.31,0.04
GS20,Siliciclastic_Rocks,70.65,13.26,2.05,0.02,0.48,1.03,2.39,5.06,0.32,0.01
GS21,Siliciclastic_Rocks,72.09,13.57,1.98,0.01,0.46,1.06,2.47,5.13,0.31,0.02
GS22,Siliciclastic_Rocks,67.55,12.38,2.01,0.01,0.46,1.02,2.25,4.87,0.32,0.01
GS23,Siliciclastic_Rocks,71.34,13.57,1.51,0.01,0.42,1.05,2.18,5.95,0.25,0.03
GS24,Siliciclastic_Rocks,70.19,13.93,1.73,0.01,0.44,1.21,2.46,5.56,0.3,0.04
GS25,Siliciclastic_Rocks,71.13,14.08,2.02,0.01,0.55,1.34,2.41,5.16,0.39,0.05
